V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,Class
21299.0,36804.0,36804.0,0.0,21.0,4600.0,36804.0,10905.0,0.0,0.0,170.0,170.0,0.0,0.0,726.0,46.0,0.0,59.0,0.0,1
1035.0,14313.0,14313.0,0.0,8.0,0.0,4241.0,4241.0,0.0,14313.0,66.0,0.0,0.0,530.0,0.0,10.0,20.0,4.0,-4241.0,1
1035.0,4241.0,14313.0,0.0,8.0,1789.0,14313.0,4241.0,0.0,14313.0,66.0,66.0,0.0,0.0,3.0,13.0,0.0,4.0,-4241.0,1
1363.0,21299.0,36804.0,-72.0,21.0,0.0,0.0,10905.0,0.0,0.0,170.0,0.0,58443.0,58443.0,37338.0,328.0,50.0,10.0,0.0,1
530.0,4241.0,14313.0,-66.0,8.0,1789.0,0.0,4241.0,1789.0,14313.0,2841.0,2841.0,0.0,0.0,2268.0,0.0,0.0,3.0,-8283.0,1
0.0,-14313.0,14313.0,8.0,-8.0,8.0,0.0,-66.0,0.0,0.0,66.0,0.0,0.0,530.0,1.0,0.0,19.0,3.0,-8283.0,0
10905.0,36804.0,36804.0,-170.0,21.0,0.0,0.0,10905.0,0.0,0.0,2662.0,2662.0,4600.0,4600.0,5818.0,0.0,54.0,11.0,0.0,1
0.0,4241.0,14313.0,-129.0,8.0,0.0,0.0,4241.0,0.0,0.0,2841.0,2841.0,14313.0,530.0,10.0,3.0,17.0,4.0,-8283.0,0
0.0,14313.0,14313.0,-66.0,8.0,22729.0,22729.0,4241.0,0.0,0.0,0.0,0.0,530.0,66264.0,17.0,10.0,25.0,31.0,-8283.0,0
1035.0,4241.0,14313.0,0.0,8.0,0.0,14313.0,4241.0,0.0,14313.0,66.0,66.0,0.0,0.0,24.0,3.0,0.0,4.0,-4241.0,0
4600.0,36804.0,36804.0,-170.0,21.0,0.0,0.0,10905.0,0.0,0.0,7305.0,7305.0,4600.0,4600.0,3268.0,1100.0,0.0,11.0,0.0,1
0.0,-36804.0,36804.0,-170.0,21.0,0.0,467546.0,10905.0,0.0,0.0,0.0,0.0,170.0,170.0,5.0,4.0,54.0,10.0,-21299.0,0
0.0,36804.0,36804.0,170.0,21.0,0.0,58443.0,10905.0,0.0,0.0,7305.0,7305.0,0.0,0.0,472.0,34.0,0.0,11.0,0.0,1
0.0,8283.0,14313.0,0.0,-8.0,1789.0,181829.0,4241.0,1789.0,0.0,66.0,66.0,0.0,-66.0,337.0,35.0,20.0,4.0,-8283.0,1
0.0,-36804.0,36804.0,0.0,21.0,0.0,58443.0,-36804.0,0.0,0.0,0.0,0.0,-170.0,-170.0,50.0,28.0,59.0,11.0,-21299.0,0
0.0,21299.0,36804.0,170.0,21.0,0.0,0.0,10905.0,0.0,0.0,170.0,170.0,0.0,0.0,64.0,4.0,0.0,10.0,0.0,0
0.0,530.0,14313.0,0.0,8.0,1789.0,66264.0,4241.0,0.0,0.0,224.0,0.0,0.0,0.0,5.0,7.0,19.0,4.0,0.0,0
0.0,10905.0,36804.0,170.0,21.0,4600.0,0.0,-170.0,0.0,0.0,170.0,170.0,0.0,0.0,0.0,7.0,0.0,56.0,0.0,0
224.0,8283.0,14313.0,0.0,8.0,1789.0,181829.0,4241.0,1789.0,14313.0,66.0,66.0,0.0,0.0,150.0,12.0,0.0,4.0,0.0,1
1035.0,4241.0,14313.0,0.0,8.0,0.0,4241.0,4241.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,48.0,18.0,18.0,-4241.0,1
0.0,0.0,14313.0,-28.0,8.0,0.0,22729.0,-14313.0,0.0,0.0,0.0,0.0,181829.0,181829.0,2.0,1.0,17.0,5.0,-8283.0,0
0.0,4241.0,14313.0,0.0,8.0,1789.0,22729.0,4241.0,0.0,14313.0,66.0,66.0,0.0,0.0,129034.0,3.0,0.0,3.0,0.0,1
0.0,-1789.0,14313.0,-8.0,8.0,0.0,22729.0,-14313.0,0.0,0.0,0.0,0.0,181829.0,181829.0,10.0,1.0,17.0,6.0,-8283.0,0
21299.0,21299.0,36804.0,0.0,21.0,4600.0,170388.0,10905.0,0.0,0.0,170.0,170.0,0.0,0.0,16308.0,93.0,0.0,8.0,0.0,1
1035.0,4241.0,14313.0,0.0,8.0,1789.0,4241.0,4241.0,0.0,530.0,66.0,66.0,0.0,530.0,113.0,8.0,20.0,4.0,-4241.0,1
0.0,530.0,14313.0,0.0,8.0,0.0,181829.0,4241.0,0.0,14313.0,66.0,66.0,0.0,0.0,76.0,9.0,0.0,4.0,0.0,0
0.0,0.0,14313.0,-28.0,8.0,8.0,0.0,-14313.0,0.0,4241.0,0.0,0.0,14313.0,181829.0,42.0,2.0,23.0,4.0,-8283.0,0
0.0,10905.0,36804.0,0.0,21.0,0.0,170388.0,10905.0,0.0,0.0,170.0,170.0,0.0,0.0,14.0,8.0,0.0,10.0,0.0,1
0.0,-14313.0,14313.0,-66.0,8.0,0.0,22729.0,-14313.0,0.0,0.0,66.0,66.0,0.0,0.0,0.0,0.0,13.0,4.0,-8283.0,0
0.0,4241.0,14313.0,28.0,8.0,8283.0,0.0,4241.0,0.0,14313.0,66.0,66.0,0.0,0.0,89.0,11.0,0.0,3.0,0.0,1
0.0,8283.0,14313.0,8.0,8.0,0.0,22729.0,4241.0,0.0,530.0,66.0,66.0,66264.0,66264.0,50.0,9.0,15.0,5.0,-8283.0,0
0.0,4241.0,-530113.0,0.0,8.0,0.0,22729.0,-1789.0,0.0,0.0,2841.0,2841.0,181829.0,181829.0,6.0,1.0,14.0,5.0,-8283.0,0
1035.0,4241.0,14313.0,0.0,-8.0,1789.0,22729.0,4241.0,8283.0,0.0,0.0,0.0,0.0,0.0,23.0,47.0,19.0,4.0,-8283.0,1
530.0,4241.0,14313.0,0.0,8.0,22729.0,22729.0,4241.0,1789.0,4241.0,0.0,0.0,0.0,0.0,38320.0,634.0,28.0,4.0,0.0,1
0.0,-14313.0,14313.0,-28.0,8.0,66.0,22729.0,4241.0,0.0,14313.0,0.0,0.0,14313.0,181829.0,33.0,8.0,28.0,4.0,-8283.0,0
0.0,-1789.0,14313.0,0.0,8.0,0.0,22729.0,4241.0,0.0,0.0,66.0,66.0,0.0,0.0,2.0,0.0,16.0,3.0,-8283.0,0
0.0,4241.0,14313.0,-66.0,8.0,1789.0,22729.0,4241.0,0.0,14313.0,66.0,66.0,0.0,14313.0,14.0,3.0,25.0,3.0,0.0,0
0.0,14313.0,14313.0,8.0,-8.0,0.0,0.0,4241.0,0.0,14313.0,66.0,66.0,0.0,0.0,37.0,9.0,0.0,3.0,0.0,1
1035.0,14313.0,14313.0,0.0,8.0,0.0,14313.0,4241.0,8283.0,14313.0,66.0,66.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,1
0.0,8283.0,14313.0,0.0,8.0,0.0,66264.0,4241.0,0.0,14313.0,66.0,66.0,0.0,0.0,36.0,10.0,0.0,4.0,0.0,1
0.0,-14313.0,14313.0,-66.0,8.0,0.0,22729.0,-14313.0,0.0,0.0,1789.0,1035.0,181829.0,181829.0,2.0,0.0,18.0,4.0,-8283.0,0
0.0,14313.0,14313.0,0.0,8.0,0.0,0.0,4241.0,66.0,14313.0,66.0,66.0,0.0,0.0,80.0,39.0,0.0,19.0,0.0,0
