LSOA,population_per_hectare
E01012334,0.4
E01012335,12.1
E01012366,0.3
E01033481,9.3
E01033482,6.9
E01012323,28.2
E01012324,67.6
E01032545,34.9
E01032546,18.9
E01012328,61.1
E01012329,25.5
E01012330,40.3
E01012331,53.7
E01012349,47.5
E01012350,55.0
E01012351,51.2
E01012352,43.5
E01012325,33.6
E01012326,23.2
E01012332,58.1
E01012333,36.7
E01012309,49.7
E01012310,48.5
E01012311,54.0
E01012312,63.2
E01012313,34.9
E01012314,48.6
E01012362,98.6
E01012363,102.7
E01012364,75.7
E01012365,57.1
E01012353,125.0
E01012354,66.0
E01012355,57.8
E01033483,17.5
E01033484,21.7
E01012307,22.2
E01012327,32.3
E01012342,16.1
E01012343,12.1
E01012315,40.3
E01012316,45.1
E01012360,29.6
E01012336,16.0
E01012337,25.2
E01012347,42.1
E01012348,32.4
E01012361,8.5
E01012304,68.9
E01012305,83.8
E01012306,52.7
E01012340,60.7
E01012341,70.6
E01012317,43.3
E01012318,30.1
E01012319,31.8
E01012356,38.8
E01012357,59.2
E01012358,28.6
E01012359,59.4
E01012338,0.9
E01012339,5.1
E01012344,2.9
E01012345,1.7
E01012346,11.7
E01020613,6.5
E01020614,34.8
E01020622,2.9
E01020623,28.6
E01020606,3.9
E01020615,28.1
E01020616,18.5
E01020617,7.4
E01020596,48.8
E01020597,31.9
E01020598,31.4
E01020611,4.2
E01020612,7.9
E01020592,51.4
E01020593,41.2
E01020599,71.0
E01020601,22.7
E01020602,37.3
E01020618,6.2
E01020594,71.5
E01020595,8.1
E01020600,33.3
E01020603,53.2
E01020605,45.8
E01020590,3.7
E01020591,3.5
E01020608,4.7
E01020609,15.3
E01020610,4.3
E01020604,1.5
E01020607,2.5
E01020619,14.2
E01020620,7.1
E01020621,24.6
E01020634,2.4
E01020635,8.1
E01020636,18.3
E01020654,17.7
E01020676,2.8
E01020627,47.7
E01020628,25.0
E01020629,32.0
E01020655,2.4
E01020656,3.8
E01020657,3.1
E01020661,20.8
E01020662,37.6
E01020663,3.4
E01020674,11.1
E01020678,17.6
E01020626,31.4
E01020638,31.0
E01020639,4.6
E01020653,3.3
E01020677,5.1
E01020647,42.1
E01020648,13.1
E01020649,7.4
E01020673,39.4
E01020675,36.2
E01020624,20.5
E01020625,5.5
E01020670,11.3
E01020671,85.2
E01020672,3.6
E01020632,30.9
E01020640,39.5
E01020641,27.8
E01020642,20.2
E01020643,40.3
E01020667,5.2
E01020650,28.8
E01020651,14.8
E01020652,12.5
E01020668,25.7
E01020669,2.9
E01020630,17.6
E01020631,36.2
E01020637,0.3
E01020644,6.7
E01020645,9.3
E01020633,1.1
E01020664,0.3
E01020665,12.4
E01020666,20.3
E01020646,0.4
E01020658,22.5
E01020659,41.5
E01020660,1.3
E01020709,2.4
E01020717,45.7
E01020718,46.7
E01020719,38.5
E01020721,38.1
E01020708,17.8
E01020710,14.9
E01020711,32.3
E01020720,49.5
E01020679,11.7
E01020680,1.2
E01020681,24.8
E01020714,4.2
E01020716,22.1
E01020725,1.9
E01020726,3.9
E01020727,2.1
E01020729,1.7
E01020730,15.3
E01020731,3.7
E01020682,31.9
E01020683,30.2
E01020690,3.5
E01020691,58.1
E01020692,22.4
E01020693,16.3
E01020722,60.2
E01020723,48.7
E01020724,9.3
E01020703,57.4
E01033164,41.0
E01033195,32.0
E01033197,32.8
E01033221,8.8
E01020684,4.3
E01020702,8.0
E01020704,37.8
E01020712,16.6
E01020713,7.0
E01020705,14.8
E01020706,1.9
E01020715,3.3
E01020685,1.0
E01020686,34.4
E01020687,46.5
E01020688,5.6
E01020689,10.1
E01020694,41.6
E01020696,0.9
E01020697,14.0
E01020732,1.9
E01020695,1.9
E01020698,9.8
E01020699,6.0
E01020700,1.3
E01020701,21.9
E01020750,56.2
E01020781,26.6
E01020786,2.6
E01020787,40.8
E01033163,7.3
E01033202,35.8
E01020740,37.3
E01020741,52.2
E01020742,11.8
E01020782,37.7
E01020783,59.3
E01020784,22.4
E01020743,10.9
E01020747,43.3
E01020748,61.2
E01020749,33.5
E01020773,3.8
E01020775,26.0
E01020776,5.3
E01033161,5.4
E01033198,69.5
E01033205,5.4
E01033206,16.7
E01020751,17.9
E01020752,3.7
E01020754,1.4
E01020756,1.7
E01020745,43.8
E01020753,19.3
E01020757,45.6
E01020758,24.5
E01020759,16.2
E01020765,7.9
E01020760,7.3
E01020761,2.8
E01020762,27.1
E01020763,1.6
E01020764,37.5
E01020766,60.6
E01020767,15.9
E01020768,21.2
E01020733,50.6
E01020734,28.0
E01020735,57.1
E01020770,30.0
E01020771,31.5
E01020780,24.1
E01020746,21.4
E01020769,31.4
E01020777,27.8
E01020778,14.3
E01020779,18.5
E01020736,3.4
E01020737,5.4
E01020738,12.0
E01020739,66.2
E01020744,11.3
E01020788,6.9
E01020789,3.3
E01020790,3.9
E01020791,25.8
E01020792,7.4
E01020772,0.8
E01020793,13.3
E01020794,15.1
E01020795,1.5
E01020817,18.1
E01020818,30.5
E01020819,49.6
E01020837,50.2
E01020843,3.3
E01020809,3.8
E01020810,1.4
E01020811,27.5
E01020812,6.3
E01020827,4.4
E01020806,4.2
E01020807,59.2
E01020820,8.8
E01020842,17.5
E01020797,3.7
E01020798,37.9
E01020799,55.9
E01020808,4.1
E01020821,2.4
E01020822,2.1
E01020823,52.1
E01020835,28.6
E01020836,5.9
E01020803,1.5
E01020805,35.5
E01033203,6.3
E01020796,1.3
E01020828,0.2
E01020829,14.4
E01020830,15.4
E01020801,37.0
E01020802,3.4
E01020838,3.7
E01020839,21.0
E01020840,7.9
E01020841,49.4
E01020813,30.2
E01020814,37.9
E01020815,3.4
E01020848,36.3
E01020850,19.8
E01020851,12.9
E01020816,32.9
E01020844,43.4
E01020847,48.6
E01020849,38.7
E01020825,33.1
