CP,S Ref Latitude,S Ref Longitude,bicycle_aadf,motorbike_aadf,car_aadf,bus_aadf,light_goods_vehicle_aadf,heavy_goods_vehicle_aadf
51,49.91502292,-6.317072963999999,238.2,96.8,539.4,27.0,379.0,40.4
52,49.91234266,-6.305685679,87.4,79.4,629.0,9.0,221.8,11.0
53,49.91714081,-6.306113756,181.8,142.6,777.2,32.2,403.8,29.4
54,49.91781028,-6.298996455,61.2,54.8,342.8,6.0,251.6,34.4
55,49.91858504,-6.295093656000001,33.6,20.8,165.6,0.0,150.8,15.2
60,52.96782793,-0.9607578479999999,39.4,135.8,13376.0,92.4,2680.2,1028.8
61,55.85186828999999,-4.270159054,67.4,47.0,6031.0,128.8,1001.2,193.0
62,55.943146700000014,-4.014292268,0.0,198.6,45573.8,227.2,8883.0,6067.6
63,55.83607715000001,-4.180267528,0.0,221.6,51346.0,236.2,8607.0,7574.2
64,51.01867423,-3.10528354,675.6,119.6,12663.4,370.4,1992.4,178.8
501,51.578384022,-3.0331031562,0.0,366.2,91133.2,487.4,14786.6,9128.4
502,51.525189999999995,-3.720044465,0.0,162.2,52800.2,165.8,9771.8,5208.8
503,51.67537878,-3.9812998760000005,0.0,222.0,51478.0,161.0,10472.2,4239.2
505,53.22008143000001,-4.158239803,81.8,68.2,10577.6,167.0,1188.0,71.6
506,53.12266191,-4.0016571160000005,17.8,33.0,1654.0,19.6,496.2,71.4
508,52.96217509,-3.119702564,11.6,152.2,4513.2,84.8,887.2,352.0
509,51.79684244,-2.726434945,0.6,65.4,18532.0,99.8,4239.6,3846.4
510,51.84024887,-3.090006725,34.6,159.4,6220.2,42.0,1011.0,313.8
512,51.951468999999996,-3.6019992299999997,1.8,65.8,2529.4,37.4,798.4,364.8
514,51.86721874,-4.252634039,18.6,120.6,7637.4,46.2,1269.8,317.2
515,51.81894357,-4.685548935,0.0,22.0,9123.6,49.2,2294.0,714.4
516,51.93039276,-4.993778463,9.2,109.4,5145.6,44.0,856.0,285.6
520,51.54913547599999,-3.712369046,25.6,58.6,4727.8,66.8,1069.0,123.0
521,51.47709918,-3.513319138,23.4,139.0,10601.2,87.6,1722.6,285.4
522,51.46710306,-3.26824372,30.2,67.0,16709.0,190.2,2956.8,354.2
524,53.2666872,-3.941950429,0.0,114.8,21779.2,129.0,4178.6,1711.6
525,53.289713798,-3.6242789030000004,0.4,241.2,40965.8,181.0,6331.2,2185.8
526,53.271133940000006,-3.337743029,0.0,106.2,32040.8,156.4,6396.2,2274.2
527,53.16409453,-3.027382177,0.0,240.2,26738.8,64.6,4265.8,1860.0
528,52.651484284000006,-3.2052476646000003,2.8,37.0,3242.0,24.8,762.2,186.0
