lsoa,oa,left,bottom,right,top,EASTING,NORTHING,Latitude,Longitude
E01000001,E00000001,-0.0965156,51.51975924,-0.094389357,51.5206628,532270,181870,51.52026933,-0.095
E01000001,E00000003,-0.097047677,51.51932897,-0.095787362,51.5203252,532150,181820,51.51984806,-0.0967
E01000001,E00000005,-0.097265533,51.51845854,-0.095760702,51.519718,532190,181730,51.51902993,-0.0962
E01000001,E00000007,-0.099907858,51.51482987,-0.094943248,51.5186283,532060,181490,51.51690356,-0.0981
E01000003,E00000010,-0.097933684,51.52217165,-0.096913595,51.52291813,532100,182100,51.52237596,-0.0973
E01000003,E00000012,-0.096488258,51.52161646,-0.095244779,51.52229847,532190,182070,51.52208533,-0.096
E01000003,E00000013,-0.097285749,51.52024738,-0.095268992,51.52163005,532160,181940,51.5209241,-0.0965
E01000003,E00000014,-0.097492048,51.5215711,-0.096383144,51.52266771,532110,182060,51.52201417,-0.0972
E01000002,E00000016,-0.09403999,51.52077393,-0.092401267,51.52143089,532350,181950,51.52096952,-0.0938
E01000002,E00000017,-0.093156521,51.51972958,-0.090585399,51.52101783,532420,181900,51.52050381,-0.0928
E01000002,E00000018,-0.095344515,51.51804925,-0.091040324,51.52092303,532390,181740,51.519073,-0.0933
E01000002,E00000019,-0.092524689,51.51933988,-0.089694614,51.5208174,532490,181810,51.51967863,-0.0918
E01000002,E00000020,-0.091506465,51.51809297,-0.090197622,51.51962348,532550,181750,51.51912538,-0.090977961
E01000002,E00000021,-0.095933503,51.51409313,-0.08812915,51.51999339,532430,181710,51.51879404,-0.0927
E01000003,E00000022,-0.09771986,51.52256415,-0.095096872,51.52325191,532190,182160,51.52289411,-0.096
E01000003,E00000023,-0.096434069,51.52139113,-0.094338513,51.52306067,532250,182110,51.52243075,-0.0952
E01032739,E00000024,-0.104843543,51.50838686,-0.094692276,51.51676761,531840,181100,51.51345016,-0.101447888
E01032740,E00000025,-0.112511069,51.50974276,-0.104245583,51.51580591,531330,181070,51.51329923,-0.108804344
E01032740,E00000026,-0.111291323,51.51353326,-0.097378886,51.51966428,531840,181540,51.51740422,-0.101283466
E01032740,E00000027,-0.104281574,51.51626421,-0.097763156,51.52053811,531880,181690,51.51874287,-0.100651239
E01032740,E00000028,-0.113841423,51.51382686,-0.109252919,51.51823392,531230,181220,51.51467043,-0.110188805
E01000005,E00000029,-0.080036058,51.50973523,-0.072719922,51.5163223,533750,181020,51.51228274,-0.074
E01000005,E00000030,-0.079148671,51.51517845,-0.075824017,51.5174887,533550,181420,51.51592455,-0.0767
E01000005,E00000031,-0.077619411,51.5155433,-0.076678451,51.51599688,533520,181410,51.51584177,-0.0771
E01000005,E00000032,-0.075243035,51.51257059,-0.073191348,51.51354771,533760,181100,51.51299928,-0.0738
E01032739,E00000035,-0.086352048,51.50684815,-0.076154084,51.51602044,533350,180830,51.51066978,-0.0798
E01000009,E00000037,0.08136097,51.54107723,0.084185846,51.54274404,544540,184620,51.5419757,0.082890535
E01000011,E00000038,0.080753394,51.54182602,0.084820251,51.54349884,544540,184700,51.54269453,0.082923362
E01000012,E00000039,0.068745053,51.54156469,0.071061147,51.5440958,543630,184670,51.54265708,0.0698
E01000007,E00000040,0.072509982,51.53840164,0.077597288,51.54222063,544050,184290,51.53913565,0.075694734
E01000009,E00000041,0.083021995,51.54016006,0.086498896,51.54249418,544680,184550,51.54131088,0.084879164
E01000009,E00000042,0.080232284,51.54082064,0.083124926,51.54225516,544450,184570,51.54154945,0.0816
E01000008,E00000043,0.069053676,51.54033509,0.071688341,51.54237021,543670,184520,51.54129908,0.0703
