grid_square,latitude,longitude,population_per_hectare,bicycle_aadf,motor_vehicle_aadf,safe
"51.572,-0.4435",51.571999999999996,-0.4435,31.1,151.8,25847.800000000007,1
"51.407,-0.1835",51.407,-0.1835,142.5,575.0,35016.4,1
"51.468,0.2515",51.468,0.2515,1.5,0.0,128692.0,1
"51.319,-0.286",51.318999999999996,-0.28600000000000003,4.0,85.2,16208.4,1
"51.341,0.196",51.341,0.196,2.0,16.4,5928.4,1
"51.2885,0.178",51.2885,0.17800000000000002,2.0,34.2,15887.4,1
"51.3835,-0.0075",51.3835,-0.0075,17.2,68.4,5462.799999999998,1
"51.644,-0.3365",51.644,-0.3365,7.7,25.4,10423.4,1
"51.6805,-0.471",51.6805,-0.47100000000000003,3.6,0.0,176717.0,1
"51.459,-0.3655",51.458999999999996,-0.3655,80.5,194.6,8399.6,1
"51.5,0.166",51.5,0.166,15.0,24.8,9866.8,1
"51.4725,-0.069",51.4725,-0.069,93.1,1816.666666666667,4781.333333333333,1
"51.2675,-0.0455",51.2675,-0.0455,34.6,5.6,27429.4,1
"51.478,-0.0565",51.478,-0.0565,134.8,2023.6,30623.4,1
"51.542,-0.4925",51.542,-0.4925,30.6,90.8,13348.0,1
"51.274,0.275",51.273999999999994,0.275,2.0,35.8,18698.4,1
"51.7,-0.0405",51.7,-0.0405,56.6,52.8,46652.8,1
"51.599,-0.5135",51.599,-0.5135,3.6,16.4,12239.000000000002,1
"51.3455,-0.4505",51.3455,-0.4505,70.5,85.8,27316.4,1
"51.456,-0.184",51.456,-0.184,145.6,136.0,1419.4,1
"51.579,0.165",51.57899999999999,0.165,50.7,43.6,52972.0,1
"51.6915,0.1095",51.6915,0.1095,64.2,1.2,436.60000000000014,1
"51.6445,-0.0015",51.6445,-0.0015,22.6,36.8,16606.200000000004,1
"51.383,-0.2835",51.383,-0.2835,33.6,498.8,24837.4,1
"51.288,-0.078",51.288000000000004,-0.078,25.3,26.2,9047.4,1
"51.373,-0.0575",51.373000000000005,-0.0575,12.6,105.6,21285.2,1
"51.5715,-0.3405",51.5715,-0.3405,28.8,45.0,14397.8,1
"51.711,0.045",51.711000000000006,0.045,100.8,21.0,19809.4,1
"51.299,-0.322",51.299,-0.322,4.0,23.6,1418.2,1
"51.3805,-0.0575",51.3805,-0.0575,12.6,60.0,20989.0,1
"51.281,-0.2105",51.281000000000006,-0.2105,11.2,82.2,37027.4,1
"51.6365,-0.087",51.6365,-0.087,21.2,162.4,16833.800000000007,1
"51.406,0.0045",51.406000000000006,0.0045,46.4,185.4,16747.0,1
"51.6115,0.0135",51.6115,0.0135,28.5,38.4,13358.2,1
"51.577,-0.473",51.577,-0.473,5.7,8.0,103045.6,1
"51.518,0.028",51.518,0.027999999999999997,106.6,304.8,21910.800000000007,1
"51.526,0.1275",51.526,0.1275,6.9,71.4,95543.4,1
"51.432,0.162",51.431999999999995,0.162,11.9,119.0,17220.000000000004,1
"51.6045,-0.098",51.6045,-0.098,84.6,168.8,16661.8,1
"51.468,-0.0765",51.468,-0.0765,79.9,273.6,17046.8,1
"51.314,-0.3775",51.31399999999999,-0.3775,4.0,61.2,6513.0,1
"51.545,-0.4395",51.545,-0.4395,66.1,662.4,92268.4,1
"51.4725,0.2425",51.4725,0.2425,1.5,29.0,7360.5999999999985,1
"51.4425,0.187",51.4425,0.187,51.8,36.8,18091.0,1
"51.55,-0.19",51.55,-0.19,121.8,8.4,920.0,1
"51.298,0.022",51.298,0.022000000000000002,34.8,40.2,16860.199999999993,1
"51.5135,-0.25",51.5135,-0.25,78.5,92.6,84946.40000000001,1
"51.7185,-0.2525",51.7185,-0.2525,5.1,0.0,71997.6,1
"51.361,-0.512",51.361000000000004,-0.512,10.6,96.0,7678.4,1
"51.508,-0.4875",51.508,-0.4875,47.3,0.0,138350.80000000002,1
"51.397,0.1255",51.397,0.1255,2.2,78.6,10862.4,1
"51.5855,-0.2625",51.5855,-0.2625,67.4,71.4,15158.2,1
"51.4895,0.132",51.4895,0.132,37.6,64.4,7215.8,1
"51.54,-0.4085",51.54,-0.4085,18.5,169.0,111804.4,1
"51.602,0.1525",51.602,0.1525,50.9,100.0,20106.6,1
"51.262,0.286",51.262,0.28600000000000003,2.0,35.8,18698.4,1
"51.623,-0.4255",51.623000000000005,-0.4255,25.4,8.8,630.8,1
"51.717,-0.0025",51.717,-0.0025,48.3,4.0,451.00000000000006,1
"51.3165,-0.5195",51.3165,-0.5195,10.6,40.4,524.4,1
"51.269,-0.3285",51.269,-0.3285,4.0,503.4,35287.0,1
"51.5465,-0.3175",51.5465,-0.3175,18.4,128.8,20072.8,1
"51.4925,-0.1785",51.4925,-0.1785,74.1,15.4,677.5999999999998,1
"51.4885,-0.467",51.4885,-0.467,8.3,73.6,13674.8,1
"51.6475,0.206",51.6475,0.20600000000000002,4.4,6.8,8725.400000000001,1
"51.31,-0.513",51.31,-0.513,10.6,20.8,1603.8,1
"51.6725,0.163",51.6725,0.163,2.7,0.0,132333.80000000002,1
"51.5105,-0.2265",51.5105,-0.2265,21.1,666.0,15157.399999999998,1
"51.4395,0.075",51.4395,0.075,58.3,42.4,8481.000000000002,1
"51.3795,0.068",51.3795,0.068,27.9,65.0,17750.399999999998,1
"51.5345,-0.1465",51.5345,-0.1465,88.3,2074.2,17807.000000000004,1
"51.6705,0.1465",51.6705,0.1465,5.5,11.0,1630.8000000000004,1
"51.3405,0.2175",51.3405,0.2175,2.0,20.8,1177.6,1
"51.353,0.147",51.353,0.147,2.0,0.0,40156.6,1
"51.297,-0.24",51.297,-0.24,11.2,46.0,16543.6,1
"51.639,-0.43",51.638999999999996,-0.43,25.4,50.8,11262.999999999998,1
"51.4135,-0.117",51.4135,-0.11699999999999999,49.9,118.4,10680.2,1
"51.4045,-0.1935",51.4045,-0.1935,44.4,207.4,19339.000000000004,1
"51.4825,0.078",51.4825,0.078,91.8,7.4,342.00000000000006,1
"51.719,-0.0405",51.718999999999994,-0.0405,56.6,16.0,5608.0,1
"51.6905,-0.217",51.6905,-0.217,10.1,0.0,49495.99999999999,1
"51.3475,0.1895",51.3475,0.1895,2.0,16.4,5928.4,1
"51.3795,0.044",51.3795,0.044000000000000004,21.8,38.4,18196.0,1
"51.6965,0.075",51.6965,0.075,66.2,0.0,122721.6,1
"51.3305,-0.218",51.3305,-0.218,11.2,48.2,15908.2,1
"51.2775,0.2565",51.2775,0.2565,2.0,6.2,16295.399999999998,1
"51.4595,-0.2825",51.4595,-0.2825,31.6,211.4,8405.2,1
"51.4625,0.106",51.4625,0.106,58.0,170.4,15036.8,1
"51.4035,-0.371",51.4035,-0.371,37.6,15.0,469.8,1
"51.5655,-0.4235",51.5655,-0.4235,41.1,108.8,14850.2,1
"51.543,-0.135",51.543,-0.135,198.8,1545.2,23679.4,1
"51.619,0.2065",51.619,0.2065,16.0,15.6,10551.0,1
"51.556,-0.4505",51.556000000000004,-0.4505,25.4,26.2,85795.19999999997,1
"51.628,-0.5315",51.628,-0.5315,3.6,0.0,149683.4,1
"51.3645,-0.0875",51.3645,-0.0875,80.6,82.0,19555.000000000004,1
"51.6115,-0.467",51.6115,-0.467,8.2,38.0,21491.4,1
"51.277,-0.292",51.277,-0.292,4.0,41.6,23494.8,1
"51.626,0.176",51.626000000000005,0.17600000000000002,2.7,10.0,1311.75,1
"51.6455,0.1585",51.6455,0.1585,2.7,25.2,9302.4,1
"51.4285,-0.04",51.4285,-0.04,122.7,335.2,29707.800000000007,1
"51.451,-0.226",51.451,-0.226,99.6,764.6,29127.8,1
"51.2575,0.1845",51.2575,0.1845,2.0,51.2,12667.4,1
"51.6065,-0.1885",51.6065,-0.1885,68.1,12.6,1784.0,1
"51.2685,0.0815",51.2685,0.0815,1.6,27.4,11868.8,1
"51.2915,-0.445",51.2915,-0.445,4.0,2.6,86170.79999999999,1
"51.3105,-0.409",51.3105,-0.409,4.0,154.0,17548.8,1
"51.535,0.0295",51.535,0.0295,209.7,107.5,3358.25,1
"51.574,0.1425",51.574,0.1425,72.8,128.8,25283.2,1
"51.4675,-0.411",51.4675,-0.41100000000000003,11.6,91.0,41630.6,1
"51.273,0.1975",51.273,0.1975,2.0,104.2,16280.6,1
"51.515,0.2435",51.515,0.2435,5.6,6.2,652.6,1
"51.371,0.23",51.371,0.23,51.8,9.4,15608.0,1
"51.499,0.1475",51.498999999999995,0.1475,12.9,23.2,19049.6,1
